GENERATION 20200519_104235_g1
[5, [28.853, 14.6038, 10.9483, 32.8654, 27.9831, 26.273, 0.7234, 50.0, 50.0, 50.0], [0.7792, 0.7321, 4.2023, 4.1979, 0.4626, 1.3223], 0, 2]
[5, [28.8512, 14.447, 11.1851, 32.5267, 27.8746, 25.9538, 1.2685, 50.0, 48.7089, 48.1993], [0.2529, 1.2982, 3.9558, 8.0975, 5.5312, 3.2788], 0, 3]
[5, [28.8527, 13.811, 10.9839, 32.106, 26.5816, 25.8202, 0.595, 50.0, 50.0, 49.9914], [0.9753, 0.0514, 2.2665, 9.3124, 5.5955, 8.7471], 0, 4]
[5, [35.9888, 28.0123, 10.049, 14.9407, 2.6475, 19.1921, 6.0, 50.0, 6.0, 50.0], [6.5698, 0.0024, 1.8197, 3.8857, 5.8639, 8.5132], 0, 5]
[5, [36.3434, 27.7096, 10.0341, 15.2974, 5.5723, 18.9316, 6.16, 50.0, 7.0607, 50.0], [1.9639, 0.4354, 1.3417, 2.4297, 9.0495, 8.4353], 0, 6]
[5, [29.0344, 13.8815, 10.9856, 31.4455, 26.842, 25.8789, 0.457, 50.0, 50.0, 50.0], [1.4364, 0.6884, 0.6849, 5.41, 1.5954, 8.5218], 0, 7]
[5, [28.8524, 14.4145, 11.0998, 32.4575, 27.868, 25.9667, 1.2731, 50.0018, 48.64, 48.0863], [0.9577, 5.6351, 0.202, 5.8252, 3.3093, 7.3293], 0, 9]
[5, [36.3568, 27.9587, 10.0569, 16.0568, 5.6355, 19.0005, 6.1632, 50.0, 5.6987, 50.0], [1.01, 2.4564, 0.4273, 4.702, 0.8528, 3.6667], 0, 8]
[5, [36.6092, 27.6928, 10.0663, 15.4842, 5.2259, 19.0302, 6.1683, 50.0, 5.1136, 50.0], [5.579, 6.7778, 0.0013, 8.4091, 6.0078, 3.0137], 0, 10]
GENERATION 20200519_104235_g13
[5, [28.8164, 13.8774, 10.9794, 31.2898, 25.8469, 25.6116, 0.5769, 49.0868, 50.0, 50.0], [0.1365, 4.5648, 5.5405, 3.5078, 1.7709, 6.1601], 0, 1]
[5, [28.853, 14.6038, 10.9483, 32.8654, 27.9831, 26.273, 0.7234, 50.0, 50.0, 50.0], [0.7792, 0.7321, 4.2023, 4.1979, 0.4626, 1.3223], 0, 2]
[5, [28.8512, 14.447, 11.1851, 32.5267, 27.8746, 25.9538, 1.2685, 50.0, 48.7089, 48.1993], [0.2529, 1.2982, 3.9558, 8.0975, 5.5312, 3.2788], 0, 3]
[5, [28.8527, 13.811, 10.9839, 32.106, 26.5816, 25.8202, 0.595, 50.0, 50.0, 49.9914], [0.9753, 0.0514, 2.2665, 9.3124, 5.5955, 8.7471], 0, 4]
[5, [35.9888, 28.0123, 10.049, 14.9407, 2.6475, 19.1921, 6.0, 50.0, 6.0, 50.0], [6.5698, 0.0024, 1.8197, 3.8857, 5.8639, 8.5132], 0, 5]
[5, [36.3434, 27.7096, 10.0341, 15.2974, 5.5723, 18.9316, 6.16, 50.0, 7.0607, 50.0], [1.9639, 0.4354, 1.3417, 2.4297, 9.0495, 8.4353], 0, 6]
[5, [29.0344, 13.8815, 10.9856, 31.4455, 26.842, 25.8789, 0.457, 50.0, 50.0, 50.0], [1.4364, 0.6884, 0.6849, 5.41, 1.5954, 8.5218], 0, 7]
[5, [36.3568, 27.9587, 10.0569, 16.0568, 5.6355, 19.0005, 6.1632, 50.0, 5.6987, 50.0], [1.01, 2.4564, 0.4273, 4.702, 0.8528, 3.6667], 0, 8]
[5, [36.3772, 28.0589, 10.0499, 15.8925, 6.2066, 18.93, 6.1437, 50.0, 5.101, 50.0], [8.7607, 4.2395, 0.4266, 9.3321, 6.336, 5.482], 0, 9]
[5, [28.8524, 14.4145, 11.0998, 32.4575, 27.868, 25.9667, 1.2731, 50.0018, 48.64, 48.0863], [0.9577, 5.6351, 0.202, 5.8252, 3.3093, 7.3293], 0, 10]
GENERATION 20200519_104235_g14
[5, [28.8164, 13.8774, 10.9794, 31.2898, 25.8469, 25.6116, 0.5769, 49.0868, 50.0, 50.0], [0.1365, 4.5648, 5.5405, 3.5078, 1.7709, 6.1601], 0, 1]
[5, [28.853, 14.6038, 10.9483, 32.8654, 27.9831, 26.273, 0.7234, 50.0, 50.0, 50.0], [0.7792, 0.7321, 4.2023, 4.1979, 0.4626, 1.3223], 0, 2]
[5, [28.8512, 14.447, 11.1851, 32.5267, 27.8746, 25.9538, 1.2685, 50.0, 48.7089, 48.1993], [0.2529, 1.2982, 3.9558, 8.0975, 5.5312, 3.2788], 0, 3]
[5, [28.8527, 13.811, 10.9839, 32.106, 26.5816, 25.8202, 0.595, 50.0, 50.0, 49.9914], [0.9753, 0.0514, 2.2665, 9.3124, 5.5955, 8.7471], 0, 4]
